User;opinionText
Adie Wirahardi Kusuma;kendala pembelajaran jarak jauh yaitu Masalah perekonomian, mungkin beberapa siswa berasal dari keluarga tidak mampu jadi tidak mampu beli kuota,bahkan tak punya handphone.Selain itu masalah sinyal yang kurang bagus karena biasannya yang tinggal di pelosok desa tidak ada sinyal
Bahtiar;Biasanya terkendala jaringan di kampung
Ibnu Bathutah;kendala pembelajaran jarak jauh yaitu kuota dan sinyal yang kadang hilang 
Dewi Gustini;"1.Jaringan (Hanya Segelintir Mahasiswa yang Dapat Merasakan ) Berbada dengan Mahasiswa Yang berada Di perkampungan
2. Segi Efektifitas mungkin bisa dikatakan 1 langkah lebih modern , akan tetapi . Beberapa mahasiswa terkadang masih Tidak faham dengan Tata apa Yang diajarkan 
3. Kurang Memahami Proses Ketika Praktek , Oflline saja Masih banyak Kurang memahami . Apa lagi ketika Online . "
Endang Lestari;malas belajar, karena e learning tidak memberikan pengawasan secara langsung
Juni Srikuswati ;"1. Pembekalan dan Persiapan terhadap e-learning yang kurang.
2. Sosialisasi terhadap penggunaan e-learning disekolah yang kurang
3. Alat evaluasi proses pembelajaran uang kurang"
Wulan Novitasari;"- Koneksi jaringan terganggu
- Interaksi kurang
- Partisipasi dan keaktifan peserta kurang"
Siti Masruroh;kendala pembelajaran jarak jauh yaitu Internet yang tidak stabil, perangkat di rumah yang kurang memadai.
Dini Permata Putri;Koneksi internet kadang tidak stabil
Ahmad Syahroni;Ada yaitu sinyal, apabila sinyal tidak wajar maka pembelajaran akan tertunda dan mengecewakan baik bagi anak didik mapun pendidik itu sendiri, merasa bersalah padahal bukan sematq mata karena pendidik, bisa jadi lama kelamaan akan membawa pendidik pada rasa minder bahwa dirinya tidak bisa mengajar dan anak didik akan semakin kurang memahami konsep yang diberikan
Yohanes Sigit Untoro;"Ada hambatan
1. Siswa tidak mempunyai gawai/laptop
2. Gawai di gunakan orang tua juga untuk ojek online
3. Gawai di pakai oleh enam anak di rumah secara bergantian
4. Kuota untuk  belajar
5. Siswa bangun siang
6. Semangat dalam menyelesaikan tugas tepat waktu kurang. 
7. Daya juang rendah dan apatis
8. Asik main game online"
Fauzan;Sinyal nya susah, kurang paham terhadap materi, 
nayah anjani;"1. Banyak Siswa tidak memengang hp. Karena hp dibawa kerja orangtuanya.
2. Jaringan yang terbatas. Kadang dikasih video pembelajaran digrup, banyak komentar orang tua yang mengatakan * tidak bisa dibuka*
3. Lingkungan yang kurang mendukung 
"
ERNI MARYANI, S.Pd;kuota, sinyal, listrik yang terkadang tiba-tiba padam sampai malam hari. sehingga sinyal pun hilang
Soleh;"internet yang tidak maksimal baik dari orang tua maupun guru 
kepemilikan HP bagi siswa tidak semua siswa memiliki HP sendiri "
Sopiah;Hambatan dari alat, pulsa dan materi serta greget belajar siswa
Fatoni Kabir;Hambatan dari proses pembelajaran jarak jauh yaitu, kurangnya insensitas dan interaksi sesama layaknya tatap muka sehingga materi yang dipaparkan susah untuk dicerna
Desi Ayu Ramadhan;"hambatan saat mengerjakan tugas (kadang kesulitan)

"
Asrini Salsabila Putri;Keterbatasan sinyal dan ilmu IT yang masih pas pasan
Nisrina Salsabila ;Keterbatasan pulsa, kelancaran jaringan
Alin Natusaripah;kendala pembelajaran jarak jauh yaitu Tidak semua siswa membuka kamera dengan baik, hanya terlihat sebagian dari wajahnya, kadang ada yang tidak berespon
Millati Haniefa Nurkamila;Kendala pembelajaran jarak jauh akses internet
Udho ganteng;Ada, hambatan dalam pembelajaran jarak jauh yaitu akses internet terkadang ini sangat menghambat
Nuril Kartika Rahmawati ;Gangguan jaringan, keterbatasan alat
Cindy Callysta;"kendala pembelajaran jarak jauh yaitu, materi kurang tersampaikan dengan baik,  waktu yang terbatas, serta tugas yang menumpuk
"
Aini Zahra;Kurangnya pemahaman terhadap mata kuliah praktek 
Medina;Koneksi internet, kedisiplinan siswa, dan lain hal
Digma Heldy Pratama;Kuota terbatas??
Milena;Tercampurnya fokus antara pembelajaran dan pekerjaan rumah
Muthmainnah Nur;Lingkungan rumah yang berisik terkadang cukup mengganggu konsentrasi saya dalam menyerap pelajaran, kualitas jaringan yang tidak bisa diprediksi, buku tulis yang tidak terlalu berguna karena lebih banyak pake word sehingga membeli buku tulis menurut saya hanya akal - akalan sekolah dalam mencari uang.
Dewi F.F.;Sejauh ini hambatan yang dialami hanya terkendala pada jaringan.
Ravenska Vania;Hambatannya dosen rata rata tidak merekam apa yang mereka jelaskan jadi cukup susah buat mengulang pembelajaran, dan jika di rumah sangat susah konsentrasi karena masalah membantu orang tua
dewi robin pramary;kualitas jaringan saja dan mental lebih banyak tugas yang diberikan
mega purwati;Tentu saja internet, tidak semua orang memiliki akses terhadap internet. Untuk yang memiliki akses internet pun belum tentu sinyalnya bagus dan support untuk perkuliahan, terkadang juga kendala seperti mati listrik atau wifi error sangat meresahkan terutama pd saat quiz atau ujian berlangsung
HERLINA DWI KARTIKASARI;terkadang terhambat di jeleknya jaringan tapi itu dapat diatasi
amanda;"- biasanya sinyal cukup menjadi hambatan
- tidak ada batasan waktu untuk tugas, maksud disini adalah siswa telah berjam-jam bahkan hingga sore untuk melakukan kelas online, tetapi dituntut juga untuk menyelesaikan tugas yang mana hal ini menjadi kurang istirahat
"
Zahrah Tsania;"• Guru yang memberikan tugas saja tanpa diskusi atau penjelasan sebelumnya
• Pemberian tugas yang sangat banyak dari pekan ke pekan sehinggu membuat peserta didik tidak punya waktu untuk merawat diri sendiri (guru/dosen cenderung mewajarkan begadang/tidur larut/kurang tidur sebagai “kerja keras”
• sinyal dan kuota internet/pulsa yang tidak memadai untuk melaksanakan pembelajaran online dan tugas-tugas, belum lagi riset/mencari materi dari berbagai sumbernya
• kurangnya bonding dengan guru maupun peserta didik lainnya"
Dea;sinyal, gadget, dan kalo mati listrik auto miss kelas
Salsabela;"1. sinyal tidak mendukung karena beberapa wilayah masih sulit untuk mendapatkan sinyal.
2. dosen/guru kurang menguasai aplikasi pembelajaran online, hal ini membuat pembelajaran terhambat dan terkadang menghabiskan waktu yang cukup banyak untuk masalah teknis.
3. lingkungan tidak kondusif. tidak semua siswa/mahasiswa tinggal di lingkungan yang nyaman untuk belajar, misalnya suasana rumah/keluarga yang kurang harmonis menyebabkan tidak fokus mengikuti pembelajaran."
Sindhu Wijaya Mulyo Nugroho;Kurangnya pemahaman materi, boros di kuota, kurang efektif
Imelia Nurlaila;hambatannya seringkali guru menyuruh murid untuk on cam meskipun saya tau ada beberapa murid yang memang suasana rumahnya tidak mendukung atau ada masalah    koneksi jaringan namun guru tidak mau mentolerir
zahra chairunnisa wihajaya;Bagi saya hambatannya adalah demotivasi karena demotivasi membuat saya merasa tidak bersemangat, dan di saat yang bersamaan merasa guilty karena tidak melakukan hal yang seharusnya saya lakukan. 
Andin;Sinyal dan suara dosen yang masih suka ngadat. Lalu ketika mau bertanya jadi sedikit sulit, karena saya typical anak yang lebih mudah mengerti ketika dijelaskan secara tatap muka
Faradina;Kurang efektif, terutama saat diskusi. kualitas jaringan internet di beberapa daerah sangat kurang. Perlu banyak paket data.
Latanza Delia Choirunnisa;server down, koneksi internet yang kadang lemot, belum lagi listrik apabila mati lampu
Widadri Ailin;sinyal, kuota, waktu, deadline yang dipersempit, dosen yang tidak bertanggung jawab memberikan materi dengan semestinya ( meskipun kita mahasiswa bisa eksplor)
Bulqiah Jagad Mauladan;sinyal tidak mendukung, materi kurang dipahami, sulit mengenal teman
Shafira Desy Ayu Al - Fikri;"- Lebih sulit dalam memahami materi, tetapi sumber belajar bisa diakses kapanpun
- Gravitasi kasur sangat kuat"
Chrisye;terdapat beberapa hambatan yang saya alami dalam pembelajaran secara online ini seperti terkadang jaringan hp saya suka hilang, lalu lingkungan rumah yang terlalu berisik sehingga susah untuk fokus dalam proses perkuliahan
Nabila Hasna;Jaringan, karena saya tinggal di tempat yang terkadang kurang baik sinyalnya sehingga terkendala zoom
Rizqi Amalia Utami;ada. masalah teknis seperti jaringan atau hardware yang terkadang error, terkadang juga ada gangguan dirumah yang membuat situasi belajar tidak kondusif
Adinda Kasih Salsabilah;Hambatan yang pertama berasal dari guru, guru-guru banyak yang belum siap dalam mengajar sistem online. Banyak guru yang hanya mengajarkan siswa melalui youtube tanpa memberikan materi secara daring. Tugas yang diberikan guru juga tidak bisa disamaratakan dengan tugas ketika offline, atau bahkan lebih banyak, sehingga kurangnya waktu istirahat bagi siswa. Hambatan kedua adalah Internet dan perangkat untuk belajar. Hambatan yang ketiga adalah orang tua, orang tua tidak memahami bahwa anaknya sedang melakukan kelas di rumah atau di kamar, orang tua sering menimbulkan distraksi.
Lelly Febriyanti;"Keaktifan : karena apabila pembelajaran jarak jauh, siswa sulit dikontrol. Untuk keaktifan hanya beberapa siswa saja, yang lain hanya menyimak.
sinyal : untuk sinyal sendiri, kadang masih sering tidak ada sinyal jadi dalam penerimaan informasi dan pengumpulan tugas jadi terlambat."
Dita Cahayatiningsih;internet kadang on off
Noor Anisa Amelia;sinyal terkadang susah 
Riska;Hambatan yang sering terjadi terkait sinyal/jaringan yang tidak stabil serta kendala listrik yang padam secara tiba-tiba. Selain itu, pengeluaran untuk pembelian kuota juga meningkat, walaupun Kemendikbud juga memberikan kuota bantuan, namun penggunaan aplikasi selama daring yang terlalu sering digunakan menyebabkan kuota bantuan tersebut habis sebelum masa berakhirnya.
hana;Hambatan terbesar dalam pembelajaran jarak jauh yaitu masalah jaringan yang tidak stabil, apalagi untuk yamg bertempat tinggal di desa yang dimana akes untuk jaringan internet tidak terlalu bagus.
Cahya;Hambatan interaksi antara pengajar dan pelajar, hambatan dalam memahami sebuah materi
Marni;sinyal internet
Asep Muslihat;Gangguan sinyal jika hujan terjadi dan akibatnya suara yang diterima putus-putus dan kadang screen yang sedang dishare tidak terlihat.
Bekti widodo;"Jaringan
Pengajar blum terlatih"
Rohman Mulyadi;kualitas internet, cukup sulit bagi yang tinggal didaerah karena sinyal tidak memadai jadi yang lain ikut terhambat karena harus menunggu yang tidak ada sinyal jadi waktunya banyak terbuang 
N.Mardiyah;Yaitu dalam pelaksanaan tugas praktik yang membutuhkan banyak orang dan benar benar tidak bisa dikerjakan sendiri 
Herlin Sundari;Hambatan yang, masalah ketersediaan kuota siswa, Terbatasnya HP, terkadang gangguan jaringan dan lain hal.
Mulyani. S.Pd;Jaringan yang tidak stabil
Wartono;"Ada siswa tidak memiliki Perangkat gaway
Sebagian siswa Sinyal tidak ada karena geografis
"
Yosa Halim Prayogi;"Hambatan nya 
- anak yang tidak punya fasilitas pembelajaran dari baik hp laptop dan biaya pendukungnya untuk beli kuota dan lain sebagainya
- anak yang malas karena dengan metode daring anak kurang faham 
- sinyal yang kadang tidak stabil"
Dini Alisari;kurang stabil sinyal, kebanyakan anak tidak punya hp dan tidak kebeli paket
Evita Wulansari;Motivasi dan semangat peserta didik dalam mengikuti PJJ masih kurang, dimana hanya 80% anak yang mengikuti PJJ dengan baik. Mengingat kendala perangkat dan quota yang tidak mendukung. 
Muh. Ruli Gunawan ;Ada, kendala kuota siswa, tidak terpantau langsung,
Mulyani;Keterbatasan paket internet bagi sebagian siswa dan penggunaan HP yang pada umumnya dipakai secara bergantian dengan adik atau kakak
Nufa Suryana ;"kendala pembelajaran jarak jauh yaitu Dosen yang kurang bisa memanfaatkan media daring,  Internet yang sering kali terkendala, Praktikum yang tidak terlaksana secara maksimal 
"
Susanti;Hanya jaringan yang terkadang tidak stabil
Yuli Eenawati;Ada, fasilitas belajar online yang dimiiki siswa tidak semuanya memadai
Peni Trihastuti;Jaringan
Imam Nashokha;Aamiin
Sri Juhariah, S.Pd ;Kurang dipahami materinya
ERNA SOFIA NENGSIH;kendala pembelajaran jarak jauh yaitu Kuota yang harus selalu ada, ilmu IT yang masih kurang.. 
Mmmm;kendala pembelajaran jarak jauh yaitua sinyal internet yang tidak selamanya bagus..kemampuan siswa untuk beli paket data tidah semua mampu...anak-anak tidak fokus belajar...lebih fokusbermain game... pantauan orang tua yang kurang maksimal dalam mendampingi anaknya belajar...
Rohman Nurdin;"Hambatan:
1. Sulit memantau kegiatan belajar siswa
2. Sulit dalam menilai kejujuran hasil pekerjaan / penilaian 
3. Siswa banyak yang tidak disiplin dalam pembelajaran online,terutama dalam penyelesaian tugas
4. Kurang efektifnya pendampingan dari orang tua
5. Minimnya fasilitas media elektronik(HP ,Laptop) yang dimiliki siswa.
"
Widawati;"PJJ akan berjalan efektif jika ditunjang dengan dukungan dari orang tua berupa pendampingan/pengawasan, fasilitas yang lengkap (perangkat pembelajaran jarak jauh), dan letak domisili yang menentukan kualitas jaringan internet.

Terlepas dari semuanya itu, kunci utama efektifitas pembelajaran online adalah pendampingan serta motivasi dari orang tua, keluarga, dan lingkungan.

Berikut point-pint hambatan dalam pembelajaran online:
1. Kesenjangan perangkat pembelajaran (smartphone, laptop, televisi, radio)
2. Kesenjangan ekonomi (pengadaan kuota internet)
3. Kesenjangan sinyal internet (Blank spot, GSM, EDGE, 3G, 4G)
5. Kurangnya pendampingan dari orang tua

"
DEWI MARLINDA, S.Pd.;kendala pembelajaran jarak jauh yaitu Kuota internet tidak memadai , jaringan internet yang tidak stabil 
Argi Fathurachim;"Ada
 Siswa memiliki keterbatasan koata untuk belajar
"
RIGAN DIAZ ALGIFARI;Tidak
RENALDI RAMADHAN;Hambatan ada di siswa karena tidak semua orangtua menyediakan sarana dan prasarana pembelajaran jarak jauh dengan lengkap baik Gawai dan Kuota data internet yang terbatas dari orangtua
Esa Saputra;Tidak semua anak punya HP
Giva Nur Aulia;Hambatan yang paling utama adalah rasa tanggung jawab dan kepedulian siswa jadi menurun
Dila Margaretha;ada,terkadang sinyal jelek
Novitasari;Bagi saya tidak ada hambatan dalam pembelajaran online ya karena mau tidak mau dalam kondisi ini kita didorong agar mengerti dan menguasai teknologi untuk kesuksesan belajar mengajar jadi kita ikuti saja arusnya.
Sofyan Hidayat;Jaringan dan 
Septy;hambatannya yaitu terbatasnya kouta internet
LILI SUMARNI,S.Pd;Biasanya terkendala memori dan kuota 
Ayu Noor Aeni;"Sinyal, menurut saya sinyal itu sangat mempengaruhi proses pembelajaran jarak jauh karena sinyal itu hal utama dlm berjalannya pembelajaran dengan lancar
"
RIDA MANARUZZAMAN ;Sinyal, 
Suci Sukmayanti Putri;Hambatannya adalah tugas yang banyak, terutama tugas video ,kami sebagai siswa banyak merasa keberatan 
Rafi Ikhwanudien Muhammad ;Kuota, sinyal, motivasi siswa dan keterbatasan penyampaian dlm topik tertentu
Julinda Ika Saputri;Jelas ada, malah cukup banyak. Siswa tak punya quota, HP rusak, sinyal kurang bagus, mati listrik, anak jenuh belajar online . Banyak siswa belajar hanya sebentar, list presensi, terus pergi, tidur atau beraktivitas lain. Sedikit siswa yang aktif di KBM.
MURODI, S.Pd.I;Jaringan internet yang lambat
Dhyana Wijayanti;banyak sih, dari mulai kuota nya abis, terus bosen, ya begitulah
Fauziah Ru'fatul Ulya Karimah;Sinyal, kuota, media komunikasi
JUSTIN DRILEN ABEDNEGO;Hambatan yang pasti yaitu sinyal, itu sulit dihindari kecuali memiliki jaringan internet yang bagus,
Pancari Cahaya;banyak sekali, karena saya dirumah terus lebih banyak yang harus dilakuin duluan antara pekerjaan rumah dan kuliah, niat ambis saya mulai berkurang, sering mengerjakan tugas di waktu yang mepet, bermalas-malasan, kurangnya bermotivasi pada diri sendiri, 
Kwok Mei Foeng;"Banyak sekali,diantranya
*keterbatasan kuota
*kurang maksimalnya kntrol dan pengawasan kepada peserta didik
*banyak keluhan dari orang tua 
*Timbulnya perasaan malas
*Tidak maksimalnya pembelarajaran
"
Dian Markuci;Sinyal di beberapa daerah, kuota 
Rodi Saroyo, S.Pd.;ada, hambatan nya pelajaran susah untuk dimengerti
Ratih Era Setianingrum;Ya,sinyal,buka website bulak balik,bertanya pun tidak sepenuhnya bisa dipahami
Rini Rachmawati;hambatan dalam pembelajaran online ini yaitu siswa kurang termotivasi belajar, selama pembelajaran jarak jauh mengajar sedikir tidak full
Andriani;Ada jaringan internet
Herlanto;Menurut saya hambatan yang paling terasa selama penyelenggaraan pembelajaran jarak jauh adalah permasalahan jaringan dan deadline tugas yang cepat dari dosen-dosen dalam satu waktu
Agung Hendro Pradityo;Hambatan yang ada biasanya masalah kuota internet, kadang-kadang kuota habis ditengah berlangsungnya pembelajaran jarak jauh 
Elisabeth Puspa Wardani;tidak ada
Lylis Bahriani;Ada, kurangnya partisipasi siswa
SUHERNI;Untuk saat ini tidak ada, dikarena sudah mulai terbiasa dengan pembelajaran jarak jauh secara online
Katarina Endang Rejeki;Tidak ada
Rustam Herman Kesuma;kendala pembelajaran jarak jauh yaitu Keterbatasan ekonomi, membuat sulit bertahan dengan qouta internet yang cukup untuk proses belajar
LUSIA NGATILAH;"Meskipun peserta didik menyalakan kamera, belum tentu fokus dalam mendengar penyampaian mater baru.
Kredibilitas hasil belajar belum tentu akurat"
Maria Magdalena Dwi R;Kurangnya motivasi belajar anak, saran prasana internet, smartphone tidak semua anak memilikinya, kurangnya penyuluhan tentang teknologi kepada anak & orangtua (gaptek) 
Yetty Ida Rohani Tobing;kendala pembelajaran jarak jauh yaitu siswa Kurang aktif dalam mengikuti dan mengerjakan tugas yang di berikan dari guru
Retno Puspitasari;Anak- anak jenuh , kurang semangat belajar karena tidak bisa bertemu teman- teman 
Dahlia afissiya shalma;Respon siswa masih sulit ditangkap guru, terutama bila siswa mematikan kamera atau kurang aktif dalam merespon. 
Elisabet Ona;Siswa kadang kurang disiplin, materi tidak maksimal 
Aprillia Setiawan;Kurang bisa mengenal karakteristik anak, penyampaian materi belum maksimal
Christiana Titik Budiati;Berinteraksi secara langsung kurang 
Evinora. V. Hutabarat;Sinyal, kuota
Jani Susanti;Hambatan yaitu kurang nya sinyal koneksi 
Irma Okviana Br Ginting Munthe;Tidak ada
Teresia Wellydar;"1. Materi program agak sulit jika di berikan secara online
2. Jika peserta didik melakukan kesalahan sangat sulit untuk memberi penjelasan."
Johannes Krismanto;Banyaknya orangtua yang bekerja , anak tidak memiliki hp pribadi sehingga hasil kurang maksimal, terkadang ada hambatan jaringan internet  
Lucia Puji Sumarni;Ada, yaitu jaringan,  kadang2 HP atau Laptop bermasalah juga
Yanti Karmila;Banyak tidak bisa melihat anak secara langsung mengerjakan soal-soal dan tidak dapat  mengetahui secara pasti apakah anak sudah bisa atau belum dalam pembelajaran yang diberikan
Christiana Suwarti;Kuota yang cukup besar untuk belajar, jaringan yang kadang kurang baik
ani karolina;Ada, internet error, kuota mahal
B. Dyah M.;Ada. Proses pembelajaran tidak dapat berjalan secara maksimal
Y. Noviana Purwaningrum ;Ada
MAGDALENA SIMBOLON;Baik
Emilda Manuntungi;Ada,internet tidak stabil,HP sering eror 
COSMAS BUTSI L.;Kemampuan IT sangat diperlukan
Sumardiyah;sinyal jaringan internet tidak stabil
sarwedi;Hambatan dalam kuota dan sinyal yang terbatas
Kusnaeni;JARINGAN YANG TIDAK MENENTU BAIK DARI PIHAK GURU ATAUPUN SISWA
Nur Hidayat;Kuota internet siswa sering kali habis, jaringan jelek, motivasi siswa dalam belajar sudah menurun siswa sudah terlena di rumah, konsetrasi siswa dalam belajar di kalahkan oleh game online, tidak ada kerjasama dengan orang tua pendampingan belajar.
Fahriah;Hambatan yaitu pengumpulan hasil belajar dari para siswa terlambat 
Ida siagian;Tidak ada, sebagian besar sudah memiliki peralatan untuk PJJ, yaitu dengan HP, Laptop, ataupun kkmputer
Larasati Prihantari;"Jaringan kadang terganggu.
Kuota siswa terbatas
Kendali siswa agak sulit."
M.Budi mulyanto;Ada tidak punya kuota dan Hp bergantian 
Faishal Hanif;kuota internet terutama untuk siswa dan juga jaringan yang terkadang putus putus
Yusup Supyani;Tidak semua siswa memiliki hp sendiri.
Septian;hambatan dalam pembelajaran online yaitu: Pln (tidak stabil) , sinyal
Ilyas;kendala pembelajaran jarak jauh yaitu Sinyal yang kurang memadai, respon orang tua yang acuh sehingga membuat anak tidak termotivasi
ILMA AMALIA;kendala pembelajaran jarak jauh yaitu Banyak siswa  tidak mengerjakan tugas yang diberikan guru dengan alasan hp rusak . Tidak ada kuota tetapi untuk hal hal yang lain bisa dilakukan 
Rofi Rosydi, S.Pd;"1. SDM Guru kurang mumpuni dalam menekuni bidang IT
2. Internet sekolah seringkali intermitten
3. Kondisi ekonomi peserta didik
4. Guru tertekan dengan kurikulum yang begitu padat, hingga membebani siswa dengan tugas yang banyak namun tidak juga dikerjakan. karena bisa jadi kondisi siswa ketika dirumah tidak standby dengan HP untuk belajar. Melainkan membantu orang tuanya bekerja"
Dias saputri;hambatannya koneksi internet.
Suwanto;Ada beberapa siswa yang tidak dapat mengikuti PJJ dengan baik dengan berbagai alasan
Chatarina Dewi L;Tidak ada hambatan
Sudarsono;kendala pembelajaran jarak jauh yaitu ketersediaan kuota siswa,sinyal terkadang lemah ,dukungan orang tua yang kurang
Achmad fadil baihaki;"Ke 1
Sinyal 
2
Materi ajar
"
Clara Hardhini;"Siswa banyak yang tidak mengumpulkan tugas dan Google meet dengan Alasan kuota
Kurang perhatiannya orang tua dalam pembelajaran jarak jauh  karna sibuk kerja 
Siswa lebih banyak bermain game online dibanding belajar karna kuota selalu menjadi alasan supaya diberikan orag tua"
Suwanto;"Jelas ada hambatan dalam pembelajaran jarak jauh:
1. Komunikasi antara guru dan siswa yang kurang efektif karena siswa SD seharusnya belajarnya secara kongkret (tatap muka)
2. Pendampingan orang tua saat online yang tidak maksimal karena kesibukan orang tua.
3. Beberapa tugas siswa yang tidak terkumpul, sehingga guru harus membuat pembelajaran tersendiri dengan kunjungan kerumah."
Chatarina Dewi L;"1.semangat siiswa untuk belajar umumnya menurun. Susah untuk menyelesaikan/menyampIkan materi sampai tuntas. 
2.Prosentase yang serius mengerjakan tugas kecil. 
3.Jika di beri tugas agak berat mereka mudah stress. 
4.Banyak yang menghabiskan waktunya untuk game, bahkan meetpun dengan main game"
Sudarsono;Tidak ada kendala yang sangat mendasar hanya dalam.kehadiran Google Meet yang kurang.
Achmad fadil baihaki;kendala pembelajaran jarak jauh yaitu  koneksi internet, hp yang kurang memadai, dan lingkungan rumah yang kurang kondusif
Clara Hardhini;Perlu waktu lama dalam koreksi, anak-anak bisa tidak jujur dalam mengerjakan, beberapa anak lama mengumpulkan tugas, beberapa anak yang kurang pendampingan orang tua nilainya tertinggal 
